ID,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
20065,39,0,1,0,16/01/16
20066,54,1,2,0,16/01/16
20067,79,0,1,0,16/01/16
20068,74.8,0,1,0,16/01/16
20069,29,0,0,0,16/01/16
20070,44.8,0,2,0,16/01/16
20071,44,0,1,0,16/01/16
20072,82,1,2,0,16/01/16
20073,58,1,2,0,3/01/17
20074,95,1,2,0,10/01/17
20075,36,0,0,0,16/01/16
20076,36.96,0,0,0,16/01/16
20077,48,0,1,0,16/01/16
20078,58,0,1,0,9/04/16
20079,52.8,0,1,0,16/01/16
20080,54,1,1,0,16/01/16
20081,38,0,0,0,16/01/16
20082,46.07,0,0,0,16/01/16
20083,66,0,2,0,16/01/16
20084,49,0,0,0,16/01/16
20085,34.2,0,0,0,16/01/16
20086,35.1,0,0,0,21/01/16
20087,26.5,0,0,0,28/01/16
20088,35.1,0,0,0,2/02/16
20089,35.1,0,0,0,11/02/16
20090,30,0,0,0,17/02/16
20091,35,0,0,0,11/03/16
20092,42.4,0,0,0,24/03/16
20093,34.4,0,0,0,29/03/16
20094,51.21,0,1,0,1/04/16
20095,44.8,0,1,0,8/04/16
20096,42,0,1,0,12/04/16
20097,30,0,1,0,7/12/16
20098,35,0,1,0,16/01/17
20099,35,0,2,0,20/02/17
20100,38.33,0,2,0,23/02/17
20101,35,0,1,0,30/03/17
20102,26,0,0,0,16/01/16
20103,26,0,0,0,23/01/16
20104,28.1,0,0,0,16/01/16
20105,58.8,1,1,0,16/01/16
20106,45,1,1,0,1/03/16
20107,48,0,1,0,16/01/16
20108,44.8,0,1,0,17/01/16
20109,29,0,0,0,17/01/16
20110,0,1,1,0,17/01/16
20111,70,0,2,0,5/11/16
20112,0,0,2,0,6/11/16
20113,44.8,0,1,0,17/01/16
20114,76,0,1,0,17/01/16
20115,114,0,0,0,17/01/16
20116,114.33,1,3,0,17/01/16
20117,78,1,2,0,17/01/16
20118,52.23,1,1,0,17/01/16
20119,88.75,0,1,0,17/01/16
20120,37,0,0,0,17/01/16
20121,76,0,2,0,17/01/16
20122,75,0,2,0,13/03/17
20123,61,0,0,0,17/01/16
20124,62,1,2,0,17/01/16
20125,55,0,0,0,17/01/16
20126,43,0,0,0,17/01/16
20127,67.5,1,1,0,17/01/16
20128,119,0,0,0,17/01/16
20129,75,0,0,0,17/01/16
20130,48,0,2,0,17/01/16
20131,48,0,2,0,17/01/16
20132,0,0,0,0,17/01/16
20133,49.43,0,1,0,17/01/16
20134,71.2,0,0,0,17/01/16
20135,0,0,0,0,17/01/16
20136,80,0,0,0,17/01/16
20137,73,0,1,0,17/01/16
20138,61,0,0,0,17/01/16
20139,76,0,0,0,17/01/16
20140,43,0,1,0,17/01/16
20141,43,0,1,0,17/01/16
20142,30,0,1,0,17/01/16
20143,39.15,0,2,0,17/01/16
20144,29,0,1,0,17/01/16
20145,59,0,1,0,17/01/16
20146,43,0,1,0,17/01/16
20147,26.1,0,1,0,17/01/16
20148,41,1,1,0,17/01/16
20149,44,0,0,0,17/01/16
20150,44,0,0,0,17/01/16
20151,49,0,0,0,17/01/16
20152,67,1,0,0,17/01/16
20153,48,0,1,0,17/01/16
20154,48,0,1,0,18/01/16
20155,43,0,0,0,18/01/16
20156,0,0,0,0,18/01/16
20157,43,0,0,0,18/01/16
20158,48,0,1,0,18/01/16
20159,44,1,0,0,18/01/16
20160,0,0,1,0,18/01/16
20161,61,0,0,0,18/01/16
20162,81,0,0,0,18/01/16
20163,29,0,0,0,18/01/16
20164,82,0,0,0,18/01/16
20165,82,0,0,0,18/01/16
20166,0,0,1,0,14/02/16
20167,76,0,1,0,18/01/16
20168,44.8,0,1,0,19/01/16
20169,29,0,0,0,19/01/16
20170,25,0,0,0,19/01/16
20171,40,0,0,0,19/01/16
20172,30,0,0,0,19/01/16
20173,42,0,0,0,13/04/16
20174,0,0,0,0,12/05/16
20175,39,0,1,0,19/01/16
20176,43,0,1,0,2/03/16
20177,56,0,0,0,29/04/16
20178,55,0,1,0,16/02/17
20179,60,0,1,0,24/03/17
20180,72,0,1,0,10/05/17
20181,39,0,1,0,19/01/16
20182,60,0,1,0,24/03/17
20183,38,0,0,0,19/01/16
20184,54,1,2,0,19/01/16
20185,48,0,2,0,19/01/16
20186,60,0,2,0,17/11/16
20187,43,0,3,0,22/02/17
20188,80,0,3,0,24/05/17
20189,64,0,2,0,19/01/16
20190,29,0,0,0,19/01/16
20191,38,0,0,0,19/01/16
20192,0,0,1,0,20/01/16
20193,0,0,0,0,19/01/16
20194,43,0,0,0,19/01/16
20195,34,0,1,0,17/12/16
20196,43,0,0,0,19/01/16
20197,0,0,1,0,19/01/16
20198,85,1,1,0,20/01/16
20199,39,0,2,0,20/01/16
20200,39,0,2,0,20/01/16
20201,39,0,2,0,20/01/16
20202,29,1,0,0,20/01/16
20203,39,1,0,0,20/01/16
20204,51,1,0,0,20/01/16
20205,45,0,1,0,20/01/16
20206,58,1,0,0,20/01/16
20207,61,0,0,0,20/01/16
20208,48,0,1,0,20/01/16
20209,58,0,0,0,20/01/16
20210,37,0,0,0,20/01/16
20211,78,0,1,0,20/01/16
20212,78,0,1,0,20/01/16
20213,48,0,2,0,20/01/16
20214,39.79,1,0,0,20/01/16
20215,48,0,1,0,20/01/16
20216,48,0,1,0,21/01/16
20217,45,0,0,0,20/01/16
20218,48,0,1,0,20/01/16
20219,67,1,0,0,20/01/16
20220,75,1,2,0,17/01/17
20221,133,1,2,0,2/04/17
20222,39,0,2,0,21/01/16
20223,38.96,0,1,0,21/01/16
20224,40,0,1,0,21/01/16
20225,37.7,0,0,0,21/01/16
20226,55.4,1,0,0,21/01/16
20227,30,0,0,0,21/01/16
20228,29,0,1,0,21/01/16
20229,30,0,0,0,21/01/16
20230,26,0,0,0,21/01/16
20231,26,0,0,0,21/01/16
20232,48,1,0,0,21/01/16
20233,0,0,0,0,21/01/16
20234,67.5,0,1,0,21/01/16
20235,56,1,1,0,21/01/16
20236,39,1,0,0,21/01/16
20237,36.25,0,2,0,21/01/16
20238,29,0,1,0,21/01/16
20239,0,1,0,0,21/01/16
20240,48,0,0,0,21/01/16
20241,25,0,0,0,21/01/16
20242,25,0,0,0,21/01/16
20243,78,1,1,0,21/01/16
20244,30,0,0,0,21/01/16
20245,30,0,0,0,25/02/16
20246,81,0,0,0,4/05/16
20247,76.5,0,0,0,13/10/16
20248,35,0,0,0,17/02/17
20249,50.8,1,1,0,21/01/16
20250,30,0,0,0,22/01/16
20251,30,0,0,0,19/02/16
20252,30,0,0,0,18/03/16
20253,26.5,0,0,0,22/01/16
20254,38,0,0,0,22/01/16
20255,38,0,0,0,29/01/16
20256,27,0,0,0,22/01/16
20257,27,0,0,0,18/11/16
20258,35,0,0,0,27/01/17
20259,35,0,0,0,23/02/17
20260,40,1,0,0,22/01/16
20261,43.2,0,1,0,22/01/16
20262,65.4,1,1,0,22/01/16
20263,40,1,2,0,22/01/16
20264,43,1,2,0,26/02/16
20265,43,0,2,0,13/01/17
20266,55,1,2,0,9/03/17
20267,40,0,2,0,22/01/16
20268,43,0,2,0,26/02/16
20269,50,1,2,0,13/01/17
20270,59.4,0,1,0,22/01/16
20271,35,1,1,0,22/01/16
20272,29,0,0,0,22/01/16
20273,61,0,0,0,22/01/16
20274,40,0,1,0,22/01/16
20275,29,0,0,0,23/01/16
20276,37,0,1,0,23/01/16
20277,57,1,0,0,23/01/16
20278,49,1,1,0,27/11/16
20279,45,0,0,0,23/01/16
20280,60.8,1,0,0,23/01/16
20281,88,0,1,0,23/01/16
20282,69,1,1,0,23/01/16
20283,31,0,1,0,23/01/16
20284,31,0,1,0,23/01/16
20285,45,0,0,0,23/01/16
20286,38,0,0,0,23/01/16
20287,49.5,0,0,0,23/01/16
20288,30.5,0,0,0,23/01/16
20289,71,0,1,0,23/01/16
20290,38,0,0,0,23/01/16
20291,43,0,0,0,23/01/16
20292,29,0,0,0,23/01/16
20293,71,0,0,0,24/01/16
20294,29,0,0,0,24/01/16
20295,40,0,0,0,24/01/16
20296,48,0,2,0,24/01/16
20297,51,1,0,0,24/01/16
20298,48,0,2,0,24/01/16
20299,54,1,2,0,24/01/16
20300,26.1,0,0,0,24/01/16
20301,39,0,0,0,24/01/16
20302,39,0,0,0,24/01/16
20303,48,0,1,0,24/01/16
20304,52.8,0,0,0,24/01/16
20305,51,0,0,0,24/01/16
20306,48,0,0,0,24/01/16
20307,48,0,1,0,24/01/16
20308,29,0,0,0,24/01/16
20309,29,0,1,0,24/01/16
20310,36.25,0,2,0,24/01/16
20311,45,0,0,0,24/01/16
20312,29,0,1,0,24/01/16
20313,71,0,1,0,24/01/16
20314,39.13,1,0,0,24/01/16
20315,54,1,1,0,24/01/16
20316,44.8,0,1,0,24/01/16
20317,48,0,0,0,24/01/16
20318,29,0,0,0,24/01/16
20319,45,0,0,0,24/01/16
20320,48,0,0,0,24/01/16
20321,45,0,0,0,24/01/16
20322,55,0,0,0,9/02/16
20323,80,0,0,0,11/05/17
20324,48,0,1,0,24/01/16
20325,45,0,2,0,24/01/16
20326,62,0,2,0,24/01/16
20327,56,0,1,0,24/01/16
20328,48,0,0,0,24/01/16
20329,51,0,0,0,24/01/16
20330,61,0,1,0,24/01/16
20331,51,0,0,0,24/01/16
20332,38.1,0,0,0,24/01/16
20333,54,1,0,0,24/01/16
20334,45,0,0,0,24/01/16
20335,48,0,2,0,24/01/16
20336,92,1,0,0,24/01/16
20337,29,1,0,0,25/01/16
20338,0,0,1,0,25/01/16
20339,26.1,0,0,0,25/01/16
20340,27.5,0,1,0,25/01/16
20341,48,0,0,0,25/01/16
20342,51,0,1,0,25/01/16
20343,48,0,1,0,25/01/16
20344,38.81,0,1,0,25/01/16
20345,51,0,1,0,27/01/16
20346,45,0,0,0,25/01/16
20347,61,1,0,0,25/01/16
20348,50,0,0,0,25/01/16
20349,59.4,0,1,0,26/01/16
20350,40,0,0,0,26/01/16
20351,43,0,0,0,18/02/16
20352,55,0,2,0,24/11/16
20353,55,0,2,0,16/02/17
20354,39,0,0,0,26/01/16
20355,45,1,0,0,26/01/16
20356,25,0,0,0,26/01/16
20357,38,1,0,0,13/01/17
20358,38.5,1,1,0,16/03/17
20359,52,1,1,0,30/05/17
20360,142,1,1,0,20/07/17
20361,48,0,0,0,26/01/16
20362,0,0,2,0,26/01/16
20363,0,0,2,0,26/01/16
20364,48,0,0,0,26/01/16
20365,63.6,0,0,0,26/01/16
20366,48,0,1,0,26/01/16
20367,75,0,1,0,26/01/16
20368,45,0,0,0,26/01/16
20369,39,0,0,0,27/01/16
20370,39,0,0,0,27/01/16
20371,39,0,0,0,27/01/16
20372,40,0,0,0,1/02/17
20373,39,0,0,0,27/01/16
20374,38,0,0,0,27/01/16
20375,38,0,0,0,27/01/16
20376,40,0,0,0,27/01/16
20377,40,0,0,0,27/01/16
20378,39,0,0,0,27/01/16
20379,40,0,0,0,8/03/16
20380,40,0,0,0,27/01/16
20381,34.4,0,0,0,27/01/16
20382,30,0,0,0,14/12/16
20383,29,0,0,0,27/01/16
20384,39,0,0,0,27/01/16
20385,39,0,0,0,29/01/16
20386,27,0,0,0,27/01/16
20387,25,1,0,0,27/01/16
20388,36.14,0,1,0,27/01/16
20389,0,1,0,0,27/01/16
20390,58,1,1,0,27/01/16
20391,40,0,1,0,27/01/16
20392,40,1,0,0,27/01/16
20393,92,1,0,0,27/01/16
20394,50,1,0,0,27/01/16
20395,50,0,0,0,27/01/16
20396,39,0,1,0,27/01/16
20397,39,0,1,0,27/01/16
20398,81,0,1,0,28/01/16
20399,40,1,1,0,28/01/16
20400,33,1,0,0,28/01/16
20401,61,1,0,0,28/01/16
20402,40,0,0,0,28/01/16
20403,75,0,0,0,8/04/16
20404,47,0,0,0,11/11/16
20405,61,0,0,0,7/12/16
20406,45,1,0,0,28/01/16
20407,52.8,0,1,0,28/01/16
20408,30,0,0,0,28/01/16
20409,39,0,0,0,28/01/16
20410,45,0,0,0,28/01/16
20411,56,1,1,0,28/01/16
20412,40,0,0,0,28/01/16
20413,31,1,0,0,29/01/16
20414,39,0,0,0,29/01/16
20415,39,0,0,0,29/01/16
20416,39,0,0,0,29/01/16
20417,42,0,0,0,12/05/16
20418,40,0,0,0,27/01/17
20419,38,0,0,0,29/01/16
20420,46,1,0,0,18/03/16
20421,62,1,0,0,21/04/16
20422,77,1,0,0,9/06/16
20423,65,0,0,0,22/06/16
20424,65,0,0,0,15/09/16
20425,45,0,0,0,21/10/16
20426,45,0,0,0,28/10/16
20427,30,1,0,0,23/11/16
20428,30,0,0,0,7/12/16
20429,42,1,0,0,26/01/17
20430,38.5,1,0,0,8/02/17
20431,42,1,0,0,9/03/17
20432,48.5,1,0,0,13/04/17
20433,48.5,1,0,0,28/04/17
20434,77,1,0,0,9/06/17
20435,40,0,1,0,29/01/16
20436,48,0,1,0,4/03/16
20437,43,0,1,0,3/02/17
20438,66,0,1,0,4/05/17
20439,54,0,1,0,16/05/17
20440,54,1,1,0,29/01/16
20441,48,0,1,0,29/01/16
20442,65,0,1,0,29/01/16
20443,43,1,0,0,29/01/16
20444,58,0,2,0,29/01/16
20445,226.67,0,2,0,3/07/17
20446,41.89,0,1,0,29/01/16
20447,41.89,0,1,0,29/01/16
20448,38.86,0,1,0,29/01/16
20449,48,0,1,0,29/01/16
20450,48,0,0,0,29/01/16
20451,76,1,0,0,29/01/16
20452,159.38,1,2,0,17/07/16
20453,179,0,2,0,24/07/17
20454,170,0,2,0,25/07/17
20455,48,0,1,0,29/01/16
20456,45,1,0,0,29/01/16
20457,0,0,0,0,29/01/16
20458,0,0,0,0,29/01/16
20459,52.8,0,1,0,29/01/16
20460,26.1,0,0,0,29/01/16
20461,25,0,0,0,29/01/16
20462,25,0,0,0,2/02/16
20463,25,0,0,0,7/02/16
20464,41.4,0,1,0,30/01/16
20465,41.4,0,1,0,30/01/16
20466,58,0,0,0,30/01/16
20467,45,0,0,0,30/01/16
20468,68,0,0,0,19/03/16
20469,38.7,0,0,0,26/11/16
20470,63,0,0,0,18/03/17
20471,52.8,0,0,0,30/01/16
20472,68,0,1,0,29/01/17
20473,48,0,1,0,30/01/16
20474,39,1,0,0,30/01/16
20475,46,1,2,0,30/01/16
20476,43,0,2,0,31/01/17
20477,44.8,0,1,0,30/01/16
20478,51,0,0,0,30/01/16
20479,45,0,0,0,30/01/16
20480,45,1,1,0,30/01/16
20481,32.77,0,1,0,30/01/16
20482,81,0,0,0,30/01/16
20483,58,0,0,0,31/01/16
20484,41.89,0,1,0,31/01/16
20485,43,0,1,0,31/01/16
20486,92,1,0,0,31/01/16
20487,48,0,1,0,31/01/16
20488,61,0,0,0,31/01/16
20489,66,0,0,0,31/01/16
20490,79,0,1,0,31/01/16
20491,56,0,0,0,31/01/16
20492,44,1,0,0,31/01/16
20493,25,0,0,0,31/01/16
20494,75,0,0,0,31/01/16
20495,50,0,1,0,31/01/16
20496,48,0,1,0,31/01/16
20497,29,0,1,0,31/01/16
20498,45,0,1,0,31/01/16
20499,54,1,1,0,31/01/16
20500,66,0,0,0,31/01/16
20501,135,0,0,0,31/01/16
20502,48,0,0,0,31/01/16
20503,62,1,0,0,31/01/16
20504,86,0,1,0,31/01/16
20505,110,0,1,0,5/06/16
20506,64.8,0,1,0,27/11/16
20507,64.8,0,2,0,5/02/17
20508,44.66,0,0,0,31/01/16
20509,45,0,0,0,31/01/16
20510,135,1,0,0,17/06/17
20511,48,0,1,0,31/01/16
20512,76,0,1,0,31/01/16
20513,45,0,0,0,31/01/16
20514,30,0,0,0,31/01/16
20515,43,0,1,0,31/01/16
20516,58,0,0,0,31/01/16
20517,74,1,0,0,31/01/16
20518,58,1,0,0,31/01/16
20519,45,0,0,0,31/01/16
20520,62.25,1,0,0,31/01/16
20521,58,0,0,0,31/01/16
20522,48,0,0,0,2/02/16
20523,59.4,0,1,0,1/02/16
20524,39,0,1,0,3/02/16
20525,50.8,1,1,0,1/02/16
20526,29,0,0,0,1/02/16
20527,40.5,0,0,0,1/02/16
20528,60,0,0,0,2/02/16
20529,56,1,1,0,1/02/16
20530,33.3,0,0,0,1/02/16
20531,58,0,1,0,1/02/16
20532,71,0,2,0,1/02/16
20533,70,0,2,0,25/01/17
20534,71,0,0,0,1/02/16
20535,39,0,0,0,1/02/16
20536,45,0,0,0,3/02/16
20537,78,0,1,0,2/02/16
20538,31.63,0,0,0,2/02/16
20539,22.5,0,0,0,2/02/16
20540,39,0,1,0,2/02/16
20541,39,0,0,0,2/02/16
20542,58,0,1,0,2/02/16
20543,49.74,0,1,0,2/02/16
20544,48,0,1,0,2/02/16
20545,45,0,0,0,2/02/16
20546,27,0,0,0,3/02/16
20547,27,1,0,0,3/02/16
20548,35,1,0,0,18/01/17
20549,75,0,0,0,6/06/17
20550,30.5,0,0,0,3/02/16
20551,29,0,0,0,4/03/16
20552,38.4,0,0,0,16/12/16
20553,39,0,0,0,3/02/16
20554,30,0,0,0,3/02/16
20555,30,0,0,0,16/12/16
20556,45,0,0,0,13/04/17
20557,26,0,0,0,3/02/16
20558,39,0,0,0,3/02/16
20559,40,0,0,0,9/03/16
20560,61.2,0,0,0,3/02/16
20561,63,0,1,0,3/02/16
20562,58,0,0,0,3/02/16
20563,46,0,0,0,3/02/16
20564,39,0,0,0,3/02/16
20565,58,0,0,0,3/02/16
20566,58,0,0,0,3/02/16
20567,82,1,0,0,3/02/16
20568,49.4,0,0,0,3/02/16
20569,39,0,0,0,3/02/16
20570,40,0,0,0,18/02/16
20571,40,0,0,0,3/03/16
20572,40,0,0,0,17/03/16
20573,43,0,0,0,31/03/16
20574,59.4,0,0,0,14/04/16
20575,68,0,0,0,3/02/16
20576,39,0,0,0,4/02/16
20577,39,0,0,0,5/02/16
20578,39,0,0,0,4/02/16
20579,39,0,0,0,5/02/16
20580,40,0,0,0,19/02/16
20581,53.6,0,1,0,4/02/16
20582,39,0,0,0,4/02/16
20583,39,0,0,0,4/02/16
20584,55,1,1,0,4/02/16
20585,53,1,1,0,8/04/16
20586,39,0,1,0,4/02/16
20587,43,0,1,0,30/01/17
20588,67,0,0,0,4/02/16
20589,45,0,0,0,5/02/16
20590,38,0,0,0,4/02/16
20591,39,0,0,0,12/02/16
20592,35,0,0,0,19/02/16
20593,35,0,0,0,23/02/16
20594,25,0,0,0,4/02/16
20595,0,0,1,0,4/02/16
20596,58,0,0,0,4/02/16
20597,53,0,0,0,4/02/16
20598,48,0,1,0,4/02/16
20599,39,0,0,0,4/02/16
20600,54,1,2,0,7/02/16
20601,64,0,1,0,29/02/16
20602,29.73,1,0,0,4/02/16
20603,29.73,0,0,0,4/02/16
20604,30,1,0,0,5/02/16
20605,53,0,1,0,7/02/16
20606,39,0,1,0,5/02/16
20607,25,0,0,0,5/02/16
20608,31.45,0,1,0,10/03/16
20609,27,0,0,0,5/02/16
20610,27,0,0,0,4/11/16
20611,27,1,0,0,5/02/16
20612,32,0,0,0,5/02/16
20613,50.4,0,0,2,6/04/16
20614,27,0,0,0,5/02/16
20615,55,0,0,0,5/02/16
20616,39,0,2,0,5/02/16
20617,39,0,2,0,5/02/16
20618,39,0,0,0,5/02/16
20619,33,1,0,0,5/02/16
20620,25,0,0,0,5/02/16
20621,42,0,0,0,30/03/17
20622,39,0,0,0,5/02/16
20623,30.5,1,0,0,5/02/16
20624,45,0,0,0,5/02/16
20625,39,0,0,0,5/02/16
20626,68,0,2,0,5/02/16
20627,68,0,2,0,5/02/16
20628,61.2,0,0,0,5/02/16
20629,46,0,0,0,5/02/16
20630,46,0,0,0,5/02/16
20631,27.9,0,0,0,5/02/16
20632,39,0,0,0,5/02/16
20633,35,0,0,0,27/01/17
20634,35,0,1,0,31/03/17
20635,39,0,0,0,5/02/16
20636,58,0,1,0,7/02/16
20637,60,1,0,0,7/02/16
20638,35.11,0,1,0,6/02/16
20639,67.2,1,1,0,6/02/16
20640,39,0,1,0,6/02/16
20641,38,0,0,0,6/02/16
20642,43,0,0,0,6/02/16
20643,34,0,1,0,11/03/17
20644,58,1,2,0,6/02/16
20645,48,0,2,0,6/02/16
20646,54,1,2,0,6/02/16
20647,38.4,0,0,0,6/02/16
20648,43,0,0,0,6/02/16
20649,58,0,0,0,6/02/16
20650,50.67,0,0,0,6/02/16
20651,58,0,0,0,6/02/16
20652,54.4,0,0,0,6/02/16
20653,48,0,1,0,7/02/16
20654,59,1,1,0,7/02/16
20655,35.47,0,1,0,7/02/16
20656,29,0,0,0,7/02/16
20657,98,0,2,0,7/02/16
20658,98,0,2,0,7/02/16
20659,58,0,0,0,7/02/16
20660,68,0,1,0,7/02/16
20661,59,0,0,0,7/02/16
20662,58,1,0,0,7/02/16
20663,48,0,1,0,7/02/16
20664,55,0,0,0,7/02/16
20665,35,1,0,0,7/02/16
20666,48,0,2,0,7/02/16
20667,48,0,2,0,7/02/16
20668,64,1,2,0,7/02/16
20669,58,0,2,0,7/02/16
20670,40,1,1,0,7/02/16
20671,58,0,0,0,7/02/16
20672,58,0,0,0,7/02/16
20673,59,1,1,0,7/02/16
20674,55,0,0,0,7/02/16
20675,98,0,0,0,7/02/16
20676,48,0,1,0,7/02/16
20677,46.4,1,1,0,7/02/16
20678,58,0,1,0,7/02/16
20679,74.67,0,0,0,7/02/16
20680,92,0,2,0,7/02/16
20681,53,0,2,0,7/02/16
20682,35,0,1,0,7/02/16
20683,27.5,1,0,0,7/02/16
20684,58,0,0,0,7/02/16
20685,54.21,0,1,0,7/02/16
20686,64,1,1,0,7/02/16
20687,54.21,0,0,0,7/02/16
20688,48,0,2,0,7/02/16
20689,48,0,2,0,29/02/16
20690,58,0,0,0,7/02/16
20691,35,0,1,0,7/02/16
20692,60,0,1,0,12/03/17
20693,35,0,1,0,7/02/16
20694,35,0,1,0,7/02/16
20695,48,0,1,0,7/02/16
20696,49.5,0,0,0,7/02/16
20697,40,0,1,0,7/02/16
20698,37.5,0,1,0,7/02/16
20699,56.1,0,1,0,7/02/16
20700,58,0,1,0,29/02/16
20701,35,0,1,0,8/02/16
20702,50,1,1,0,8/02/16
20703,29.16,0,1,0,8/02/16
20704,39,0,2,0,8/02/16
20705,54,1,2,0,8/02/16
20706,61.88,0,1,0,8/02/16
20707,48,0,2,0,8/02/16
20708,58,0,2,0,29/02/16
20709,54.67,0,1,0,8/02/16
20710,29,0,0,0,8/02/16
20711,48,0,2,0,8/02/16
20712,54,1,1,0,8/02/16
20713,64.33,0,0,0,8/02/16
20714,29,0,0,0,8/02/16
20715,45,0,0,0,8/02/16
20716,70,1,0,0,8/02/16
20717,58,0,1,0,8/02/16
20718,64,1,0,0,8/02/16
20719,45,0,1,0,8/02/16
20720,58,0,2,0,8/02/16
20721,68,0,1,0,8/02/16
20722,74,0,1,0,8/02/16
20723,56.1,0,0,0,8/02/16
20724,48,0,2,0,8/02/16
20725,48,0,2,0,8/02/16
20726,58,0,2,0,29/02/16
20727,47.83,0,1,0,9/02/16
20728,26,0,0,0,9/02/16
20729,73.33,0,0,0,9/02/16
20730,59,1,1,0,9/02/16
20731,73.33,0,0,0,9/02/16
20732,48,0,1,0,9/02/16
20733,49.3,0,0,0,9/02/16
20734,43,0,0,0,9/02/16
20735,56.67,0,0,0,9/02/16
20736,30,0,0,0,9/02/16
20737,73.33,0,0,0,9/02/16
20738,56.67,0,0,0,9/02/16
20739,73.33,0,0,0,9/02/16
20740,73.33,0,0,0,9/02/16
20741,73.33,0,0,0,9/02/16
20742,73.33,0,0,0,9/02/16
20743,39,1,1,0,9/02/16
20744,73.33,0,0,0,9/02/16
20745,73.33,0,0,0,9/02/16
20746,28.1,0,0,0,9/02/16
20747,65,0,0,0,9/02/16
20748,76.33,1,0,0,9/02/16
20749,45,0,0,0,9/02/16
20750,73.33,0,0,0,9/02/16
20751,63,0,0,0,9/02/16
20752,77,1,0,0,9/02/16
20753,73.33,0,1,0,9/02/16
20754,48,0,1,0,9/02/16
20755,45,0,0,0,9/02/16
20756,64,1,2,0,9/02/16
20757,65,0,0,0,9/02/16
20758,108,0,0,0,9/02/16
20759,88,0,2,0,9/02/16
20760,97,1,0,0,9/02/16
20761,55,1,1,0,9/02/16
20762,60,0,2,0,28/02/17
20763,44,0,1,0,9/01/17
20764,55,0,0,0,9/02/16
20765,29,0,0,0,12/02/16
20766,61,1,0,0,9/02/16
20767,35,1,0,0,12/02/16
20768,52.4,1,1,0,9/02/16
20769,98,1,0,0,9/02/16
20770,45,0,1,0,9/02/16
20771,48,0,2,0,9/02/16
20772,123,0,1,0,9/02/16
20773,61,0,0,0,9/02/16
20774,58,0,1,0,9/02/16
20775,68.75,0,2,0,9/02/16
20776,68.75,0,2,0,9/02/16
20777,36.96,0,0,0,9/02/16
20778,64,1,1,0,9/02/16
20779,35,0,1,0,9/02/16
20780,0,0,1,0,15/02/16
20781,91.67,0,1,0,9/02/16
20782,56.67,0,0,0,9/02/16
20783,63,0,0,0,9/02/16
20784,51,1,1,0,9/02/16
20785,35,0,1,0,9/02/16
20786,35,0,1,0,12/02/16
20787,39,0,0,0,9/02/16
20788,35,0,1,0,9/02/16
20789,35,0,1,0,12/02/16
20790,48.19,0,0,0,10/02/16
20791,73.8,0,1,0,12/02/17
20792,58,0,1,0,10/02/16
20793,74.5,0,1,0,10/02/16
20794,58,0,1,0,10/02/16
20795,74,1,0,0,10/02/16
20796,111.5,1,1,0,9/04/17
20797,50,0,0,0,10/02/16
20798,29,0,1,0,10/02/16
20799,113,1,2,0,10/02/16
20800,100,0,2,0,13/02/16
20801,26,0,0,0,10/02/16
20802,58,0,2,0,10/02/16
20803,55,1,0,0,13/02/16
20804,78,0,1,0,10/02/16
20805,29,0,0,0,10/02/16
20806,29,0,0,0,11/02/16
20807,91,0,0,0,10/02/16
20808,29,0,0,0,10/02/16
20809,29,0,0,0,10/02/16
20810,51.71,0,0,0,10/02/16
20811,146.5,1,1,0,10/02/16
20812,58,0,2,0,10/02/16
20813,42.5,0,0,0,10/02/16
20814,39.15,0,0,0,10/02/16
20815,0,0,1,0,10/02/16
20816,65,0,2,0,10/02/16
20817,49,0,1,0,10/02/16
20818,98,0,1,0,10/02/16
20819,55,0,0,0,10/02/16
20820,29,0,0,0,10/02/16
20821,41.18,0,0,0,10/02/16
20822,37,0,0,0,11/02/16
20823,37,0,0,0,11/02/16
20824,0,0,0,0,11/02/16
20825,53,0,1,0,11/02/16
20826,45,0,0,0,11/02/16
20827,51,1,0,0,11/02/16
20828,61,1,1,0,28/02/16
20829,71,1,1,0,8/04/16
20830,53,1,0,0,11/02/16
20831,65,1,1,0,12/04/16
20832,79,1,1,0,16/06/16
20833,53,0,0,0,11/02/16
20834,56,0,1,0,12/04/16
20835,79,0,1,0,16/06/16
20836,36.93,0,0,0,11/02/16
20837,98.8,1,1,0,11/02/16
20838,126.74,1,2,0,31/10/16
20839,154.32,1,2,0,2/01/17
20840,34.4,0,0,0,11/02/16
20841,30.6,0,0,0,10/03/16
20842,44.8,0,0,0,7/04/16
20843,52.8,0,0,0,5/05/16
20844,30,0,0,0,10/11/16
20845,34.4,0,0,0,23/12/16
20846,30,0,0,0,17/02/17
20847,75,0,0,0,11/02/16
20848,55,0,0,0,11/02/16
20849,58,0,0,0,11/02/16
20850,54.4,1,1,0,11/02/16
20851,30.43,0,0,0,11/02/16
20852,45.6,0,1,0,11/02/16
20853,48,0,1,0,12/02/16
20854,39,0,1,0,12/02/16
20855,29,0,0,0,12/02/16
20856,25,0,0,0,12/02/16
20857,45,0,0,0,12/02/16
20858,43,0,0,0,30/03/16
20859,75,0,0,0,12/02/16
20860,43.2,0,1,0,12/02/16
20861,62.17,0,0,0,12/02/16
20862,68.17,1,0,0,12/02/16
20863,49.2,0,1,0,12/02/16
20864,71,0,0,0,12/02/16
20865,50,0,0,0,12/02/16
